X	Y	Z	MASS 
0.5390456966	0.9788282225	-0.1383245163	5497.88405663
-1.1024884940	0.0000000000	0.2641072565	5497.88405663
0.5390456966	-0.9788282225	-0.1383245163	5497.88405663
